jet1_x,jet1_y,jet1_z,jet2_x,jet2_y,jet2_z
-4212.477302,1.621551521,0.059173901,-12143.36343,5.260603178,-0.03036875
7662.628652,2.077036431,-0.076780871,-32047.39474,3.984850726,0.124289466
284.9060753,4.951114752,-0.015440548,10776.56196,2.790289765,-0.420915601
-38459.59787,1.64698357,0.132067953,18320.94572,3.581897308,0.189240679
-20008.01884,3.82016794,-0.084899141,-7496.168719,1.977262971,0.492730331
23725.29147,3.93663525,-0.085838686,-23846.13399,1.631643386,0.439045462
-10042.6079,0.759582384,0.119029803,28923.28932,2.749003875,0.055804742
44139.00264,0.235818377,-0.42965862,12526.21347,1.667785347,0.226395929
15163.2109,0.844161228,0.158165568,11404.16084,4.827595197,-0.221112742
44276.96496,3.760504498,-0.210115038,37542.54865,4.756430035,-0.099693441
18160.95434,3.255441355,-0.023493567,43839.92591,3.615891818,0.251279745
-38503.83925,5.989744113,-0.152460687,-43032.56115,1.306998349,-0.009537544
46929.95346,2.265006763,0.317365576,13028.82828,6.006662442,0.396434727
-14484.44827,5.074173332,-0.09595227,48157.31572,1.935162835,-0.010205355
37547.56955,2.172954063,0.005711854,19233.04604,3.753994432,-0.382208051
-21461.76057,0.658274686,-0.186868063,-42585.18533,5.848972795,-0.468069128
1768.927436,2.886572304,0.376611754,-49460.78447,0.655077402,-0.066819654
14626.02895,4.977953219,0.155173175,41788.7505,1.653295991,0.193010695
30601.06913,1.831387716,0.182707955,21816.47827,1.674601792,-0.327964381
35560.50582,4.278490512,-0.068095303,49680.11893,5.571596307,0.340016581
45340.83788,4.210607253,-0.136187258,10575.85822,2.120086127,0.352591976
37204.50357,5.657691415,-0.086319954,-41717.39033,2.233170203,0.156043101
-26254.91978,2.25354136,-0.43366319,1333.872575,1.548043384,0.377524529
-37884.38583,2.151615378,-0.029876171,-45014.71925,1.942996687,-0.414670663
7358.403203,1.002905764,0.487693885,39007.95767,0.738135756,0.083861432
20324.11708,1.53704664,0.46353167,-1593.300378,0.126411698,-0.490496517
-41797.12428,4.602812263,-0.233916652,-49672.7252,1.641577503,0.257528338
33967.00277,4.743913248,-0.307532358,21050.3391,2.502083704,0.265287947
-7673.540827,4.074072753,-0.341157437,-21935.84227,0.472376134,-0.047972905
2655.880017,4.664358325,-0.449426801,-3.936477835,2.894570809,-0.187831233
-23988.32697,1.079276227,0.49495861,7608.686933,6.168399371,-0.202762181
-33501.23704,1.11533625,0.030113114,578.3375195,5.031078078,0.395373144
35659.33442,3.677499647,-0.453660406,-3937.489864,1.392395375,-0.241519217
26516.06636,5.763889047,-0.416590131,3065.823947,1.328791473,0.235924084
10066.7447,0.450434436,-0.333271177,-18964.28347,5.330348504,0.320658639
6191.849651,0.270645883,-0.084418774,-16769.41607,3.866464053,-0.434838561
41554.60905,4.844873419,0.127800815,-9530.265611,3.973986327,0.023362557
-36063.56184,4.560502215,0.025608237,19185.44896,3.145216522,-0.367243644
-10799.73421,1.254136213,0.498184291,-4568.677858,3.459923895,0.307691417
-5843.80455,0.363258163,0.267577309,32465.6166,2.619744649,0.085349384
40506.78489,5.285762165,-0.39304411,33990.35163,3.975405703,-0.291207042
-30481.68595,3.722698904,-0.345750045,-13791.63214,4.995227373,-0.028113336
-45555.9534,2.541856679,-0.089595354,-2004.696608,4.111749757,-0.104509793
-34109.43627,2.926735527,-0.024085421,21514.49744,3.420702388,-0.431346407
21978.81475,5.675688512,-0.005748063,20235.97143,0.622657922,-0.308650269
-1437.472758,2.534229382,0.191129241,-26911.47569,5.156979692,-0.070843261
-5386.81264,5.165963507,-0.328345771,-36774.30069,2.664197661,-0.278194912
35966.57317,2.915804884,-0.29926011,-29417.44252,4.139959178,-0.284308288
-36590.87261,5.730212511,0.084932232,18079.4345,1.501097715,-0.374095662
-22478.83677,5.101863649,-0.298839849,-21114.41397,1.454289063,0.133823685
31546.86842,1.874277112,0.018842592,-7239.063175,5.261129785,0.444075426
32537.91801,4.217273209,-0.072278404,-19581.06747,1.842796087,-0.135767574
41575.18158,1.349955065,-0.277566751,46772.85289,4.484164766,0.472565898
-28196.17534,0.589523697,-0.147094688,29416.43169,1.293460211,-0.262531324
32949.37816,4.945333282,0.030261395,14816.97102,3.291303281,-0.096693322
-42962.63951,3.809840599,0.125611622,3735.567014,5.784210028,0.174543025
13092.75189,3.152684488,-0.071689782,15712.39599,4.641593246,0.143704354
-128.4781659,0.481611035,0.142039149,19126.98896,4.978620632,-0.335771719
-20733.08038,3.212186158,0.002515501,24653.65385,5.949938234,-0.01659465
24826.24231,4.066211532,-0.284161764,26415.58078,4.717590638,-0.02309257
21393.08248,3.839481191,0.26723589,24206.48493,5.587250867,0.40059208
49468.0289,5.173148403,-0.116336657,-42437.76008,2.938370089,0.397780367
-3042.106323,4.792751092,0.104819741,-6787.306983,5.15025705,0.069197037
-12005.19676,6.123563921,0.154074562,-29457.00778,4.867829586,-0.453777532
3430.249152,0.450305666,-0.321773229,3933.291575,5.950025333,0.126917605
12525.01143,0.965185315,-0.466979598,-48420.6953,2.087607681,0.24457063
12337.4706,5.851417088,0.258161614,-4494.028071,5.399370252,-0.047159423
38597.08995,0.825917804,-0.269630766,-16140.16448,3.200374301,-0.123776703
-29716.93548,1.039146472,-0.448536761,-2437.300734,0.547501204,-0.209354914
20843.81893,6.136404147,0.044982735,-17136.16718,4.477037845,-0.118347535
-45832.86888,4.334882558,-0.228337502,-15674.42822,5.195233065,0.226832623
35827.14925,1.032518205,0.202682835,29716.99344,0.949173366,-0.016478319
-26686.19798,4.447280972,0.373535452,2456.48277,0.667071835,0.321682869
-11141.72759,5.232047993,-0.288347308,14858.68422,1.454801443,-0.420403113
-39356.40222,0.919505815,-0.435118103,33960.11732,4.756787025,0.031390627
-3705.55164,0.698039998,0.357037187,-10361.69215,1.469771952,0.341008333
21634.00368,5.546935435,0.150385359,10148.41078,4.679291408,0.102506293
13558.29521,1.441446944,-0.196138815,-19995.94881,5.923226533,0.158678969
-6718.751937,3.708355597,-0.081633267,-1361.35576,6.025890441,-0.359733201
-23914.15192,0.075475402,0.154018834,-29270.34199,0.418445393,0.321587326
-37976.77941,0.407563586,-0.361075338,5546.615323,0.337155835,-0.079428261
-7255.481531,0.921719204,-0.094014058,44920.09414,4.751087576,-0.150919905
-39304.59348,4.970784861,-0.168598128,26803.99784,3.792120851,0.010420001
37272.55082,0.900332013,0.001107194,35150.68457,2.415756165,-0.435227424
41173.77818,1.463263419,0.068961149,-10517.61566,3.192407755,0.270000906
24218.14037,2.088322131,-0.161667443,-9202.442265,1.404476238,0.473213063
24234.48626,3.320434347,-0.343974458,-49525.08981,1.32155912,0.144229046
-9062.437354,0.982512147,-0.467097649,6601.724762,3.951321494,0.389130414
3442.112529,3.922893073,-0.091487211,8509.134075,3.010214419,-0.23803122
24507.07626,4.747078269,0.226699475,10433.99133,1.572638771,0.132343201
-30284.44288,3.159502193,0.459362421,27544.95977,5.591272875,-0.352679376
32532.96872,0.789231905,-0.077731077,31663.42575,3.730141953,0.360905083
-29091.42691,6.072575945,0.196415903,12629.68588,3.937087748,0.252199091
21472.25181,3.540672291,-0.366716777,-40767.6902,5.769267307,-0.350613975
30725.22968,6.280483014,0.098734069,-41559.83903,5.875391466,-0.273791494
-37679.15646,4.35867622,0.105385154,-39224.04913,5.14422184,0.256342391
-14442.8254,4.952024107,-0.08569363,13273.3799,0.911844719,-0.049712526
-1498.087001,4.674242863,0.273862629,9748.401428,1.109437773,0.114732446
